run_id,seed,topology,policy,label,deadline_miss_ratio,redundant_byte_ratio,max_miss_burst,p95_miss_burst,secondary_airtime_fraction,adaptive_actions,actions_t0,actions_t1,actions_t2,actions_t4
78c27c0735555ad4e77a,1,dual_interface,full_duplication,Full duplication,0.00166666666667,0.5,2,1.95,0.08775916,0,0,0,0,0
797084a243eb88fcc500,28,dual_interface,selective_duplication,Selective 0.20,0.00111111111111,0.00421496311907,1,1.0,0.00024586,0,0,0,0,0
7a0fa968b07ad8d560d2,29,dual_interface,fixed_link_1,Single 5 GHz,0.00944444444444,0,3,2.3999999999999986,0.0,0,0,0,0,0
7aa47aeed1bc8c4f8243,19,dual_interface,full_duplication,Full duplication,0,0.5,0,0.0,0.0571673266667,0,0,0,0,0
7aec6b2686fcae4bb179,7,dual_interface,fixed_link_1,Single 5 GHz,0.00944444444444,0,2,2.0,0.0,0,0,0,0,0
7c637601e7fd7c3f0b81,25,dual_interface,adaptive_airtime_duplication,Adaptive airtime,0.0116666666667,0.187795444779,1,1.0,0.0194827866667,431,66,26,181,158
7d6f15b2119c92a96b1a,5,dual_interface,full_duplication,Full duplication,0.000555555555556,0.5,1,1.0,0.0851366666667,0,0,0,0,0
7df539b4905272e9ae66,23,dual_interface,full_duplication,Full duplication,0,0.5,0,0.0,0.0621201333333,0,0,0,0,0
7f6267ef56836cd18a56,26,dual_interface,selective_duplication,Selective 0.20,0.00111111111111,0.00473933649289,1,1.0,0.00050092,0,0,0,0,0
8178f81237caa784e834,26,dual_interface,adaptive_airtime_duplication,Adaptive airtime,0.000555555555556,0.183937823834,1,1.0,0.0193886066667,420,75,40,170,135
81b768946ac229167bc6,3,mlo_str,fixed_link_0,MLO,0.0255555555556,0,5,3.0,0.0,0,0,0,0,0
83476eca2cbf3432aa4c,9,dual_interface,full_duplication,Full duplication,0.000555555555556,0.5,1,1.0,0.07675334,0,0,0,0,0
