family_id,scenario_id,parameter_sample,seed,run,arm_id,run_id,generated_frame_count,completed_frame_count,incomplete_frame_count,deadline_miss_count,all_generated_deadline_miss_rate,completed_frame_hf7_p99_supported,completed_frame_hf7_p99_us,sender_airtime_us,background_throughput_mbps
radio_propagation,radio-propagation-qualification-p23,23,21031,1,str_mlo_nmaxinflights_1,9d6a0166040a124d0331,1800,1293,507,507,0.2816666666666667,1,32508.799999999996,10288917.0,25.95728
radio_propagation,radio-propagation-qualification-p23,23,21031,1,score_aware_t2_v2,326adc21ef0719e45bd4,1800,1175,625,625,0.3472222222222222,1,32258.760000000002,12227631.0,25.95792
radio_propagation,radio-propagation-qualification-p23,23,21031,1,distributional_shadow_t2,bf1f739b4c42fb8db2a4,1800,1241,559,559,0.31055555555555553,1,32081.4,12796745.0,25.95744
radio_propagation,radio-propagation-qualification-p23,23,21032,1,str_mlo_nmaxinflights_1,28fcaa0f259c76f2a43f,1800,1371,429,429,0.23833333333333334,1,32416.899999999987,10149693.0,26.73408
radio_propagation,radio-propagation-qualification-p23,23,21032,1,score_aware_t2_v2,55f076a05db43bee4143,1800,1273,527,527,0.2927777777777778,1,32419.24,11169642.0,26.72112
radio_propagation,radio-propagation-qualification-p23,23,21032,1,distributional_shadow_t2,6cdc5cc1468eabde264f,1800,1331,469,469,0.26055555555555554,1,32027.5,11939166.0,26.72112
obss_intensity,obss-intensity-qualification-p16,16,21033,1,str_mlo_nmaxinflights_1,7791f434259b2a5daf40,1800,1724,76,76,0.042222222222222223,1,28293.859999999986,4874042.0,29.91856
obss_intensity,obss-intensity-qualification-p16,16,21033,1,score_aware_t2_v2,592b2d28f5a2c97ffa4d,1800,1708,92,92,0.051111111111111114,1,28176.150000000005,6273804.0,29.9208
obss_intensity,obss-intensity-qualification-p16,16,21033,1,distributional_shadow_t2,766f48e169c53d236027,1800,1709,91,91,0.050555555555555555,1,28238.64,6349473.0,29.92048
obss_intensity,obss-intensity-qualification-p16,16,21034,1,str_mlo_nmaxinflights_1,4907f69444183af40cde,1800,1761,39,39,0.021666666666666667,1,21767.400000000038,4148282.0,30.44192
obss_intensity,obss-intensity-qualification-p16,16,21034,1,score_aware_t2_v2,3ce24618cd012538cb2b,1800,1787,13,13,0.007222222222222222,1,17849.79999999993,4729189.0,30.44384
