analysis,bin,calibration_error,count,degradation_profile,effective_bin_count,feature_set,link,mean_probability,model,observed_miss_rate,partition,pipeline_type,probability_max,probability_min,requested_bin_count,sample_offset_us,scenario_id,stage
per_link,2,0.10208666730700044,4319,,10,F0+F1-ideal,0,0.004476758614439719,histogram_gradient_boosting,0.013660569576290808,ood:obss_plus_legacy_mixed8,model,0.005042846339131968,0.003945101812361935,10,0,obss_plus_legacy_mixed8,T0
per_link,3,0.10208666730700044,4320,,10,F0+F1-ideal,0,0.005774435027348988,histogram_gradient_boosting,0.021064814814814814,ood:obss_plus_legacy_mixed8,model,0.006635695617571515,0.005043309506654872,10,0,obss_plus_legacy_mixed8,T0
per_link,4,0.10208666730700044,4320,,10,F0+F1-ideal,0,0.007793950224234489,histogram_gradient_boosting,0.027546296296296298,ood:obss_plus_legacy_mixed8,model,0.009168897183970764,0.006636086707778146,10,0,obss_plus_legacy_mixed8,T0
per_link,5,0.10208666730700044,4320,,10,F0+F1-ideal,0,0.011460214491415276,histogram_gradient_boosting,0.056018518518518516,ood:obss_plus_legacy_mixed8,model,0.014373346944691582,0.009169187457635234,10,0,obss_plus_legacy_mixed8,T0
per_link,6,0.10208666730700044,4320,,10,F0+F1-ideal,0,0.018674471659522813,histogram_gradient_boosting,0.11736111111111111,ood:obss_plus_legacy_mixed8,model,0.023781540036647432,0.014376020919742721,10,0,obss_plus_legacy_mixed8,T0
per_link,7,0.10208666730700044,4320,,10,F0+F1-ideal,0,0.03228164455858874,histogram_gradient_boosting,0.21898148148148147,ood:obss_plus_legacy_mixed8,model,0.04452233985600146,0.023782567964503357,10,0,obss_plus_legacy_mixed8,T0
per_link,8,0.10208666730700044,4320,,10,F0+F1-ideal,0,0.06442124672291658,histogram_gradient_boosting,0.34953703703703703,ood:obss_plus_legacy_mixed8,model,0.09685895605549795,0.044534197709743595,10,0,obss_plus_legacy_mixed8,T0
per_link,9,0.10208666730700044,4320,,10,F0+F1-ideal,0,0.3150077678023564,histogram_gradient_boosting,0.6650462962962963,ood:obss_plus_legacy_mixed8,model,0.8944476766808259,0.09694359893716627,10,0,obss_plus_legacy_mixed8,T0
per_link,0,0.005496361229315594,3447,,10,F0+F1-ideal+F2,0,7.148199825230938e-05,histogram_gradient_boosting,0.0,in_distribution_test,model,9.057239206055802e-05,4.553863977563515e-05,10,0,,T0
per_link,1,0.005496361229315594,3752,,10,F0+F1-ideal+F2,0,0.00010312519282984397,histogram_gradient_boosting,0.0,in_distribution_test,model,0.0001196877633241391,9.099849000013095e-05,10,0,,T0
per_link,2,0.005496361229315594,3600,,10,F0+F1-ideal+F2,0,0.0001638917808480164,histogram_gradient_boosting,0.0,in_distribution_test,model,0.00022979419674531564,0.00011994438861237878,10,0,,T0
per_link,3,0.005496361229315594,3601,,10,F0+F1-ideal+F2,0,0.00040234506245058385,histogram_gradient_boosting,0.0005554012774229381,in_distribution_test,model,0.0006588276658814114,0.00023008794778201286,10,0,,T0
per_link,4,0.005496361229315594,3600,,10,F0+F1-ideal+F2,0,0.0012533787669844944,histogram_gradient_boosting,0.0002777777777777778,in_distribution_test,model,0.001993083832294046,0.0006589605609764862,10,0,,T0
per_link,5,0.005496361229315594,3600,,10,F0+F1-ideal+F2,0,0.00571134876914805,histogram_gradient_boosting,0.005833333333333334,in_distribution_test,model,0.01240092374191548,0.001995048743410527,10,0,,T0
per_link,6,0.005496361229315594,3600,,10,F0+F1-ideal+F2,0,0.022505655450338835,histogram_gradient_boosting,0.025,in_distribution_test,model,0.037761045305155116,0.012401975367271731,10,0,,T0
per_link,7,0.005496361229315594,3600,,10,F0+F1-ideal+F2,0,0.05809902642532265,histogram_gradient_boosting,0.04611111111111111,in_distribution_test,model,0.08152012778628277,0.037762983124645516,10,0,,T0
per_link,8,0.005496361229315594,3600,,10,F0+F1-ideal+F2,0,0.11793994701894593,histogram_gradient_boosting,0.09722222222222222,in_distribution_test,model,0.158602516656376,0.08152325255682527,10,0,,T0
per_link,9,0.005496361229315594,3600,,10,F0+F1-ideal+F2,0,0.3253953504089893,histogram_gradient_boosting,0.30722222222222223,in_distribution_test,model,0.92023071659284,0.1586029467301445,10,0,,T0
per_link,0,0.005273249807263108,4320,,10,F0+F1-ideal+F2,0,0.00043624325026797253,histogram_gradient_boosting,0.0,ood:obss_only,model,0.0006028250303649376,5.420167353273306e-05,10,0,obss_only,T0
per_link,1,0.005273249807263108,4320,,10,F0+F1-ideal+F2,0,0.001095685950385214,histogram_gradient_boosting,0.001851851851851852,ood:obss_only,model,0.001736123748950594,0.0006033179296790902,10,0,obss_only,T0
per_link,2,0.005273249807263108,4320,,10,F0+F1-ideal+F2,0,0.0021676871393089647,histogram_gradient_boosting,0.00625,ood:obss_only,model,0.002559208761720381,0.0017368102745405024,10,0,obss_only,T0
per_link,3,0.005273249807263108,4320,,10,F0+F1-ideal+F2,0,0.0029047360565748826,histogram_gradient_boosting,0.004398148148148148,ood:obss_only,model,0.0032383004187134918,0.002559682190284337,10,0,obss_only,T0
per_link,4,0.005273249807263108,4320,,10,F0+F1-ideal+F2,0,0.003568934315076325,histogram_gradient_boosting,0.009027777777777777,ood:obss_only,model,0.0038906079681253498,0.0032385359296571176,10,0,obss_only,T0
per_link,5,0.005273249807263108,4320,,10,F0+F1-ideal+F2,0,0.004241439371959665,histogram_gradient_boosting,0.003472222222222222,ood:obss_only,model,0.004616564003147144,0.0038907288042703252,10,0,obss_only,T0
