analysis,average_precision,brier_score,calibration_error,degradation_profile,effective_calibration_bin_count,eligible_frames,eligible_misses,feature_set,link,model,partition,pipeline_type,prevalence,requested_calibration_bin_count,roc_auc,sample_offset_us,scenario_id,stage,subgroup_dimension,subgroup_value
subgroup,0.44627794328033593,0.03372965284894429,0.005175787324242368,,10,35400,1684,F0+F1-ideal+F2,0,histogram_gradient_boosting,in_distribution_test,model,0.04757062146892655,10,0.9224564382128322,0,,T0,frame_type,P_FRAME
subgroup,0.44627794328033593,0.03372965284894429,0.005175787324242368,,10,35400,1684,F0+F1-ideal+F2,0,histogram_gradient_boosting,in_distribution_test,model,0.04757062146892655,10,0.9224564382128322,0,,T0,frame_size_bytes,12000
subgroup,0.392914074515687,0.0663230276492368,0.033365482512008604,,10,600,52,F0+F1-ideal+F2,0,histogram_gradient_boosting,in_distribution_test,model,0.08666666666666667,10,0.8804393599101628,0,,T0,frame_size_bytes,48000
subgroup,0.2769405137314,0.010915119881881872,0.005273249807263108,,10,43200,545,F0+F1-ideal+F2,0,histogram_gradient_boosting,ood:obss_only,model,0.012615740740740742,10,0.8260946424212182,0,obss_only,T0,miss_regime,ood
subgroup,0.2769405137314,0.010915119881881872,0.005273249807263108,,10,43200,545,F0+F1-ideal+F2,0,histogram_gradient_boosting,ood:obss_only,model,0.012615740740740742,10,0.8260946424212182,0,obss_only,T0,correlation_mode,none
subgroup,0.2636929339986649,0.043489312897419384,0.02396552792188405,,10,720,36,F0+F1-ideal+F2,0,histogram_gradient_boosting,ood:obss_only,model,0.05,10,0.8088044184535412,0,obss_only,T0,frame_type,I_FRAME
subgroup,0.27785199553560164,0.01036301491551683,0.005084985136862308,,10,42480,509,F0+F1-ideal+F2,0,histogram_gradient_boosting,ood:obss_only,model,0.01198210922787194,10,0.8202071558530989,0,obss_only,T0,frame_type,P_FRAME
subgroup,0.27785199553560164,0.01036301491551683,0.005084985136862308,,10,42480,509,F0+F1-ideal+F2,0,histogram_gradient_boosting,ood:obss_only,model,0.01198210922787194,10,0.8202071558530989,0,obss_only,T0,frame_size_bytes,12000
subgroup,0.2636929339986649,0.043489312897419384,0.02396552792188405,,10,720,36,F0+F1-ideal+F2,0,histogram_gradient_boosting,ood:obss_only,model,0.05,10,0.8088044184535412,0,obss_only,T0,frame_size_bytes,48000
subgroup,0.6612640963431073,0.10186581960037952,0.09508365224502277,,10,43200,6419,F0+F1-ideal+F2,0,histogram_gradient_boosting,ood:obss_plus_legacy_mixed8,model,0.14858796296296295,10,0.8949260054667559,0,obss_plus_legacy_mixed8,T0,miss_regime,ood
subgroup,0.6612640963431073,0.10186581960037952,0.09508365224502277,,10,43200,6419,F0+F1-ideal+F2,0,histogram_gradient_boosting,ood:obss_plus_legacy_mixed8,model,0.14858796296296295,10,0.8949260054667559,0,obss_plus_legacy_mixed8,T0,correlation_mode,independent
subgroup,0.6687759644379588,0.17457197834169488,0.14949075374472115,,10,720,194,F0+F1-ideal+F2,0,histogram_gradient_boosting,ood:obss_plus_legacy_mixed8,model,0.26944444444444443,10,0.795931166947591,0,obss_plus_legacy_mixed8,T0,frame_type,I_FRAME
subgroup,0.6626823207705033,0.10063351182510298,0.094161497982316,,10,42480,6225,F0+F1-ideal+F2,0,histogram_gradient_boosting,ood:obss_plus_legacy_mixed8,model,0.14653954802259886,10,0.8962488442253361,0,obss_plus_legacy_mixed8,T0,frame_type,P_FRAME
subgroup,0.6626823207705033,0.10063351182510298,0.094161497982316,,10,42480,6225,F0+F1-ideal+F2,0,histogram_gradient_boosting,ood:obss_plus_legacy_mixed8,model,0.14653954802259886,10,0.8962488442253361,0,obss_plus_legacy_mixed8,T0,frame_size_bytes,12000
subgroup,0.6687759644379588,0.17457197834169488,0.14949075374472115,,10,720,194,F0+F1-ideal+F2,0,histogram_gradient_boosting,ood:obss_plus_legacy_mixed8,model,0.26944444444444443,10,0.795931166947591,0,obss_plus_legacy_mixed8,T0,frame_size_bytes,48000
per_link,0.4285659355035468,0.03474770643131475,0.006298197168025136,polling_1ms,10,36000,1736,F0+F1-degraded:polling_1ms,0,histogram_gradient_boosting,in_distribution_test,model,0.04822222222222222,10,0.9190772687621516,0,,T0,,
per_link,0.2328947802198451,0.011103277580072492,0.0034110827274699018,polling_1ms,10,43200,545,F0+F1-degraded:polling_1ms,0,histogram_gradient_boosting,ood:obss_only,model,0.012615740740740742,10,0.8194627473036815,0,obss_only,T0,,
per_link,0.6166321564852185,0.1089196874602404,0.09962300781454636,polling_1ms,10,43200,6419,F0+F1-degraded:polling_1ms,0,histogram_gradient_boosting,ood:obss_plus_legacy_mixed8,model,0.14858796296296295,10,0.8831337964100461,0,obss_plus_legacy_mixed8,T0,,
per_link,0.43652294991383955,0.034540213288718015,0.005715415850410846,polling_1ms,10,36000,1736,F0+F1-degraded+F2:polling_1ms,0,histogram_gradient_boosting,in_distribution_test,model,0.04822222222222222,10,0.9193481728616296,0,,T0,,
per_link,0.27289959449017875,0.010885734152169391,0.003848780874378773,polling_1ms,10,43200,545,F0+F1-degraded+F2:polling_1ms,0,histogram_gradient_boosting,ood:obss_only,model,0.012615740740740742,10,0.8117082760230094,0,obss_only,T0,,
per_link,0.6543650292345835,0.10184329412971853,0.09264514621139813,polling_1ms,10,43200,6419,F0+F1-degraded+F2:polling_1ms,0,histogram_gradient_boosting,ood:obss_plus_legacy_mixed8,model,0.14858796296296295,10,0.8935933321100802,0,obss_plus_legacy_mixed8,T0,,
per_link,0.12409197761059039,0.1103707344700742,0.10221930955110499,,10,36000,4083,,1,retry_pressure,in_distribution_test,heuristic,0.11341666666666667,10,0.525093055508267,0,,T0,,
per_link,0.06214719360849816,0.052934609445848775,0.1975253029659654,,9,43200,637,,1,retry_pressure,ood:obss_only,heuristic,0.01474537037037037,10,0.5981376724376177,0,obss_only,T0,,
per_link,0.2848085437815751,0.17466441446177203,0.017821577999842794,,10,43200,10122,,1,retry_pressure,ood:obss_plus_legacy_mixed8,heuristic,0.23430555555555554,10,0.5693301949602598,0,obss_plus_legacy_mixed8,T0,,
