family_id,scenario_id,parameter_sample,seed,run,run_id,arm_id,generated_frames,completed_frames,incomplete_frames,late_completed_frames,deadline_misses,deadline_miss_rate,completed_p99_us,censored_mean_us,airtime_link_0_us,airtime_link_1_us,sender_airtime_us,background_bytes_received,actions,completed_actions,action_packets,build_host
obss_intensity,obss-intensity-qualification-p19,19,21045,1,a3a116f91ff32a2c6f30,full_copy_t0,1800,1531,269,0,269,0.14944444444444444,31932.600000000002,11324.507222222222,7770007.0,6204589.0,13974596.0,394749600,1800,884,18900,wifi-exp-f2e354c
obss_intensity,obss-intensity-qualification-p17,17,21038,1,a4f8f0992bdf667a45f0,single_5ghz_no_redundancy,1800,367,1433,0,1433,0.7961111111111111,32465.94,29186.171666666665,0.0,6926272.0,6926272.0,564687600,0,0,0,wifi-exp-17-30
compound_shift,compound-shift-qualification-p19,19,21176,1,a9cdc283c9b21ebbf781,full_copy_t0,1800,1777,23,0,23,0.012777777777777779,21960.84,3903.125,4268852.0,6068633.0,10337485.0,168188400,1800,1727,20340,wifi-exp-17-30
obss_intensity,obss-intensity-qualification-p17,17,21040,1,aa77ac8fdc446cff675f,single_5ghz_no_redundancy,1800,1188,612,0,612,0.34,31509.159999999985,17035.290555555555,0.0,6468241.0,6468241.0,473160000,0,0,0,wifi-exp-17-30
obss_intensity,obss-intensity-qualification-p19,19,21046,1,b0cca6688a84f4eed8f1,single_5ghz_no_redundancy,1800,604,1196,0,1196,0.6644444444444444,32098.820000000003,25860.29611111111,0.0,8280809.0,8280809.0,396030000,0,0,0,wifi-exp-17-30
legacy_coexistence,legacy-coexistence-qualification-p17,17,21133,1,b2078182eabf7488d57f,oracle_eventual_missing_repair_t2,1800,1508,292,0,292,0.1622222222222222,32513.600000000002,14327.287222222221,3820694.0,7308528.0,11129222.0,202179600,1224,933,12507,wifi-exp-f2e354c
obss_intensity,obss-intensity-qualification-p17,17,21040,1,b369405eead6ee8029f6,str_mlo_nmaxinflights_1,1800,262,1538,0,1538,0.8544444444444445,32655.159999999996,30276.070555555554,2832914.0,2325075.0,5157989.0,532854000,0,0,0,wifi-exp-17-30
legacy_coexistence,legacy-coexistence-qualification-p17,17,21135,1,b7fa1c4fa1fae5fca360,str_mlo_nmaxinflights_1,1800,1307,493,0,493,0.2738888888888889,31470.400000000005,14788.86611111111,3281659.0,2834432.0,6116091.0,196436400,0,0,0,wifi-exp-f2e354c
obss_intensity,obss-intensity-qualification-p19,19,21045,1,bdda6e0d6cfd01f2e64d,single_5ghz_no_redundancy,1800,1257,543,0,543,0.3016666666666667,32216.600000000002,15897.722777777777,0.0,6204589.0,6204589.0,395250000,0,0,0,wifi-exp-f2e354c
legacy_coexistence,legacy-coexistence-qualification-p17,17,21136,1,c069f9453eb7c1faa5a2,str_mlo_nmaxinflights_1,1800,952,848,0,848,0.4711111111111111,32145.350000000002,20484.50888888889,4263720.0,3227701.0,7491421.0,208386000,0,0,0,wifi-exp-17-30
legacy_coexistence,legacy-coexistence-qualification-p17,17,21134,1,c211e6b81cd71553211b,full_copy_t0,1800,1670,130,0,130,0.07222222222222222,28865.609999999997,8101.063888888889,6022052.0,5281038.0,11303090.0,199426800,1800,1252,18900,wifi-exp-17-30
radio_propagation,radio-propagation-qualification-p17,17,21007,1,c54ead6d747f05812595,single_5ghz_no_redundancy,1800,1119,681,0,681,0.37833333333333335,32753.979999999996,19954.135,0.0,13917080.0,13917080.0,196364400,0,0,0,wifi-exp-f2e354c
